id,word,simple_word,kinds,num_defs,def_freq,wiki_freq,crea_freq,ngram_freq,afi,commonness
05hTi4k,abiogénesis,abiogénesis,sust,1,0,2.0,,150.0,a.bjo.ˈxe.ne.sis,0
05iu5Z3,abisagrar,abisagrar,verb,1,0,0.0,,2.0,a.bi.sa.ˈgɾaɾ,0
05l9iBz,abisal,abisal,adj,3,1,63.0,0.27,1989.0,a.bi.ˈsal,1
05lCJXn,abiselar,abiselar,verb,1,0,0.0,,1.0,a.bi.se.ˈlaɾ,0
05sHE0M,"abisinio, nia",abisinio,adj,2,1,29.0,0.13,474.0,a.bi.ˈsi.njo,0
05xHjfD,abismal,abismal,adj,2,2,34.0,1.36,7993.0,a.bis.ˈmal,2
05z7szh,abismar,abismar,verb,4,10,8.0,0.04,64.0,a.bis.ˈmaɾ,1
060008I,abismo,abismo,sust,6,6,474.0,10.82,109511.0,a.ˈbis.mo,3
05zgqIn,"abismático, ca",abismático,adj,1,0,0.0,0.03,106.0,a.bis.ˈma.t̪i.ko,0
066AkaY,"abizcochado, da",abizcochado,adj,2,0,2.0,,31.0,a.biθ.ko.ˈt͡ʃa.d̪o,0
05hYQUU,"abiótico, ca",abiótico,adj,2,0,47.0,0.2,458.0,a.ˈbjo.t̪i.ko,1
066ouZX,abjuración,abjuración,sust,1,0,26.0,0.11,1012.0,ab.xu.ɾa.ˈθjon,0
068HHhH,abjurar,abjurar,verb,1,1,63.0,0.29,1995.0,ab.xu.ˈɾaɾ,1
068qwN0,ablación,ablación,sust,3,5,88.0,0.54,6893.0,a.bla.ˈθjon,2
069ukyX,ablandabrevas,ablandabrevas,sust,1,1,0.0,0.0,26.0,a.blan.d̪a.ˈbɾe.bas,0
06Dl2wY,"ablandador, ra",ablandador,adj,1,0,8.0,0.04,177.0,a.blan.d̪a.ˈd̪oɾ,0
06FkbZl,ablandahígos,ablandahígos,sust,1,0,0.0,,0.0,a.blan.d̪a.ˈi.gos,0
06HGjMA,ablandamiento,ablandamiento,sust,1,1,19.0,0.47,1273.0,a.blan.d̪a.ˈmjen.t̪o,1
06JZMsm,ablandar,ablandar,verb,8,35,125.0,0.75,5743.0,a.blan.ˈd̪aɾ,2
06KEMvT,"ablandativo, va",ablandativo,adj,1,0,0.0,,1.0,a.blan.d̪a.ˈt̪i.bo,0
06RP0Cq,ablano,ablano,sust,1,0,0.0,,12.0,a.ˈbla.no,0
06SJq5z,ablativo1,ablativo,sust,2,1,70.0,0.03,1854.0,a.bla.ˈt̪i.bo,0
06SphBJ,"ablativo2, va",ablativo,adj,1,0,70.0,0.03,1854.0,a.bla.ˈt̪i.bo,0
06Z5pbp,ablentar,ablentar,verb,1,0,1.0,,12.0,a.blen.ˈt̪aɾ,0
06aBtqD,ablución,ablución,sust,4,2,45.0,0.11,1147.0,a.blu.ˈθjon,0
06dGUpp,"ablusado, da",ablusado,adj,1,0,0.0,0.01,17.0,a.blu.ˈsa.d̪o,0
06f7iON,abnegación,abnegación,sust,1,2,57.0,1.56,14667.0,ab.ne.ga.ˈθjon,2
06fBKld,"abnegado, da",abnegado,adj,2,4,72.0,0.61,3757.0,ab.ne.ˈga.d̪o,2
06kKpN3,abnegar,abnegar,verb,1,3,0.0,,41.0,ab.ne.ˈgaɾ,0
06sEpsF,abobar,abobar,verb,2,3,3.0,,10.0,a.bo.ˈbaɾ,0
06wFE9y,abocanar,abocanar,verb,1,0,0.0,,1.0,a.bo.ka.ˈnaɾ,0
072mYpS,abocar,abocar,verb,8,0,276.0,0.29,1104.0,a.bo.ˈkaɾ,1
076ryf3,abocardar,abocardar,verb,1,2,0.0,,30.0,a.bo.kaɾ.ˈd̪aɾ,0
07B9Fyr,abocetar,abocetar,verb,2,0,14.0,0.01,148.0,a.bo.θe.ˈt̪aɾ,0
07ES0wP,abochornar,abochornar,verb,3,3,3.0,0.01,300.0,a.bo.t͡ʃoɾ.ˈnaɾ,0
07J7FSt,abocinar1,abocinar,verb,1,1,141.0,,10.0,a.bo.θi.ˈnaɾ,0
07Kes3S,abocinar2,abocinar,verb,2,1,141.0,,10.0,a.bo.θi.ˈnaɾ,0
07NRZyi,"abofeteador, ra",abofeteador,adj,1,0,0.0,,14.0,a.bo.fe.t̪e.a.ˈd̪oɾ,0
07NYDz6,abofetear,abofetear,verb,2,1,53.0,0.24,2429.0,a.bo.fe.t̪e.ˈaɾ,1
07Ntdse,abogacía,abogacía,sust,2,2,274.0,1.7,9156.0,a.bo.ga.ˈsi.a,2
07TG2dg,"abogado, da",abogado,sust,3,27,5325.0,58.88,277135.0,a.bo.ˈga.d̪o,3
07UrysS,"abogador, ra",abogador,"adj,sust",2,0,0.0,,8.0,a.bo.ga.ˈd̪oɾ,0
07WYZjM,abogar,abogar,verb,2,28,1018.0,0.7,4657.0,a.bo.ˈgaɾ,2
07ZgLnc,"abolengo, ga",abolengo,"sust,adj",5,1,42.0,0.95,6283.0,a.bo.ˈlen.go,2
07cyoxW,abolicionismo,abolicionismo,sust,1,2,21.0,0.07,1622.0,a.bo.li.θjo.ˈnis.mo,0
07dgmIc,abolicionista,abolicionista,adj,2,0,156.0,0.18,3109.0,a.bo.li.θjo.ˈnis.t̪a,1
07aCglZ,abolición,abolición,sust,1,3,745.0,4.34,26369.0,a.bo.li.ˈθjon,3
07g6Qwn,abolir,abolir,verb,1,4,1149.0,1.82,11300.0,a.bo.ˈliɾ,2
07je7RY,abolladura,abolladura,sust,1,5,22.0,0.14,1659.0,a.bo.ʝa.ˈd̪u.ɾa,1
07kY3Ob,abollar1,abollar,verb,2,2,20.0,0.05,389.0,a.bo.ˈʝaɾ,0
07m5NpX,abollar2,abollar,verb,1,1,20.0,0.05,389.0,a.bo.ˈʝaɾ,0
07pj8SH,abollonar,abollonar,verb,2,1,1.0,,2.0,a.bo.ʝo.ˈnaɾ,0
07nlICN,abollón,abollón,sust,1,0,0.0,0.01,73.0,a.bo.ˈʝon,0
07sHNMI,abolorio,abolorio,sust,1,0,1.0,,276.0,a.bo.ˈlo.ɾjo,0
07tUDnb,abolsarse,abolsarse,verb,2,0,0.0,,5.0,a.bol.ˈsaɾ.se,0
0831FpL,abombar1,abombar,verb,4,5,66.0,0.0,78.0,a.bom.ˈbaɾ,1
088zJNJ,abombar2,abombar,verb,3,5,66.0,0.0,78.0,a.bom.ˈbaɾ,1
08AMs5Y,abominable,abominable,adj,2,4,64.0,2.16,18751.0,a.bo.mi.ˈna.ble,2
08BxO1p,abominación,abominación,sust,2,0,42.0,0.45,13683.0,a.bo.mi.na.ˈθjon,1
08Ce8vE,abominar,abominar,verb,2,4,13.0,0.19,770.0,a.bo.mi.ˈnaɾ,1
08D7oP3,abonable,abonable,adj,1,0,0.0,0.0,143.0,a.bo.ˈna.ble,0
08IZq5z,"abonador, ra",abonador,"adj,sust",4,0,2.0,,30.0,a.bo.na.ˈd̪oɾ,0
08Ji2Qg,abonanzar,abonanzar,verb,1,0,1.0,,20.0,a.bo.nan.ˈθaɾ,0
08K8Rrm,abonar1,abonar,verb,10,49,305.0,3.8,19660.0,a.bo.ˈnaɾ,3
08LLnU2,abonar2,abonar,verb,2,46,305.0,3.8,19660.0,a.bo.ˈnaɾ,3
08UezoH,abono1,abono,sust,4,18,449.0,5.99,37408.0,a.ˈbo.no,3
08VaBES,abono2,abono,sust,3,18,449.0,5.99,37408.0,a.ˈbo.no,3
08Z86c7,aboquillar,aboquillar,verb,2,0,1.0,,4.0,a.bo.ki.ˈʝaɾ,0
08gP8u8,abordable,abordable,adj,1,0,7.0,0.16,861.0,a.boɾ.ˈd̪a.ble,1
08gPGbl,"abordador, ra",abordador,adj,1,0,0.0,,21.0,a.boɾ.d̪a.ˈd̪oɾ,0
08ghxyh,abordaje,abordaje,sust,1,5,207.0,2.91,49017.0,a.boɾ.ˈd̪a.xe,2
08ht72h,abordar,abordar,verb,6,7,1757.0,16.19,132308.0,a.boɾ.ˈd̪aɾ,3
08ii62U,abordo,abordo,sust,1,0,227.0,0.78,4275.0,a.ˈboɾ.d̪o,2
